### Zone 'mod' dumped with Zonebuilder Call of Duty: ZOMBIE WARFARE (Beta) build r4516-develop latest Jun 15 2024 22:18:35 win-x86

name,file,vol_min,vol_max,pitch_min,pitch_max,priority,dist_min,dist_max,channel,type,probability
attack_00,mw2r_3d/zombie/attack/attack_00.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_01,mw2r_3d/zombie/attack/attack_01.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_02,mw2r_3d/zombie/attack/attack_02.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_03,mw2r_3d/zombie/attack/attack_03.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_04,mw2r_3d/zombie/attack/attack_04.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_05,mw2r_3d/zombie/attack/attack_05.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_06,mw2r_3d/zombie/attack/attack_06.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_07,mw2r_3d/zombie/attack/attack_07.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_08,mw2r_3d/zombie/attack/attack_08.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_09,mw2r_3d/zombie/attack/attack_09.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_10,mw2r_3d/zombie/attack/attack_10.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_11,mw2r_3d/zombie/attack/attack_11.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_12,mw2r_3d/zombie/attack/attack_12.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_13,mw2r_3d/zombie/attack/attack_13.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_14,mw2r_3d/zombie/attack/attack_14.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
attack_15,mw2r_3d/zombie/attack/attack_15.wav,0.9,1.0,100,100,90,100,300,weapon,streamed,1
